Row	Product ID	Name	Current	Corrected	Reasoning
3374	cmu3py7dj00y3tcod1lvthb0z	"Ancient Nutrition Rapid Hydration Powder - Lemon Lime"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3375	cmu3qaywc03j7tcod2di44t0s	"Vegetarian Collagen Peptides Powder"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3376	cmu3q1ejr01ojtcod07ou4ucz	"Multi Collagen Protein - Pure"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3377	cmu3q4ogp026htcodo83p4cts	"Bone Broth Collagen - Pure"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3378	cmu3q3v0r024ftcodxw31hfj2	"Multi Collagen Protein Beauty Within"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3379	cmu3q27zu01pntcodxhbesan0	"Men's Multi"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3380	cmu3pzqn10191tcod8tkw612n	"Activated Charcoal Powder"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3384	cmu3qa7we0391tcod5a2xrw4b	"Grass-Fed Beef Spleen"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3711	cmu3qcggw03s1tcodkbfd9gqg	"24-Hour Eyeshadow and Liner 1.64g"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3716	cmu3q8pvo030xtcodis62xjb8	"7 Elixir 50ml"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3717	cmu3qcggo03qttcod0fn5ym5h	"50 Angled Eye Lining Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3718	cmu3qcggq03r5tcod09rlc2t8	"3D Eyelash Mascara Waterproof 4.2g"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3720	cmu3qcggq03r1tcodk50h6ioo	"37 Bronzer Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3724	cmu3qlh9o05nttcodz8ta9nek	"100 Precision Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3725	cmu3qcgh103svtcod0lda25vw	"23 Angled Crease Contour Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3728	cmu3qcggn03qjtcodkefhlogr	"40 Medium Laydown Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3729	cmu3qcggn03qltcoduplnwdgg	"54 Va Va Voom Smudge Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
3732	cmu3qcggj03pvtcodo13zwm5t	"65 Angled Contour Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4017	cmu3q3v0a021ntcodb4dwfkj8	"24-Hour Eyeshadow and Liner 1.64g"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4019	cmu3q3v01020ftcodrr0b71x8	"7 Elixir 100ml"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4020	cmu3q3v0b021ttcod1wbtgs75	"29 Tapered Blending Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4022	cmu3qcggv03rttcod0mqpjnfa	"3-Ply Stainless Steel Square Roaster"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4024	cmu3qcggo03qptcod0j71fvvd	"5 Powder Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4042	cmu3qcggv03rvtcodkvlfvtx7	"3-Ply Stainless Steel Sauté Pan with Lid"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4250	cmu3qcggr03r7tcodukq6472t	"3D Eyelash Mascara 4.2g"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4253	cmu3qcggs03rhtcodasfwckda	"3-Ply Stainless Steel Rectangular Roaster"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4255	cmu3qcggs03rftcod3q7xhug1	"3-Dot Round Sunglasses"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4257	cmu3qcggx03sbtcod651u4t4x	"24-Hour Eyeshadow and Liner 1.64g"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4263	cmu3qcggw03s7tcodxh3cx2s7	"2PK Peacock Garden 45x45cm Napkin"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4536	cmu3qcggk03q3tcodfnxwibvj	"62 Fan Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4580	cmu3qd71u03wptcodvw7aqm8z	"200 Medium Precision Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4740	cmu3qcggp03qvtcodasq5uxc8	"48 Blending Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
4748	cmu3qcggu03rptcodaosjdyip	"300 Large Precision Brush"	""	"Home, Style & Objects > Fashion & accessories"	"Default fashion/accessory"
