"contains_age_restricted_items","gift_page_url","website_url","applies_to","why_it_fits","name","active","category","what_they_sell","id","created_date","updated_date","created_by_id","is_sample"
"false","https://lovevery.com/","https://lovevery.com/","Kids","Montessori-aligned, sustainably made, UK delivery — exceptional baby gifting","lovevery.com","true","Kids","Stage-based play kits for babies and toddlers","6a5cf235e67d9df5dc7d5163","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.daylesford.com/","https://www.daylesford.com/","Men, Women","Cotswolds farm shop online — beautiful hampers, exceptional quality","daylesford.com","true","Unisex (Adult)","Organic food, hampers, lifestyle","6a5cf235e67d9df5dc7d516f","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.buyagift.co.uk/","https://www.buyagift.co.uk/","Men, Women, Kids","Wide experience catalogue — useful when the right physical gift isn't obvious","buyagift.co.uk","true","Unisex + Kids","Experience gifts — cooking classes, spa, afternoon tea","6a5cf235e67d9df5dc7d5169","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.golfbreaks.com/en-gb/","https://www.golfbreaks.com/en-gb/","Men","A standout gift for the golfer — weekends away, courses, tuition","golfbreaks.com","true","Men","Golf breaks and experiences UK-wide","6a5cf235e67d9df5dc7d5170","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"true","https://www.beer52.com/","https://www.beer52.com/","Men","UK's most popular craft beer club, gifting section, personalised message included","beer52.com","true","Men","Craft beer subscription boxes and one-off gifts","6a5cf235e67d9df5dc7d5174","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"true","https://www.thewhiskyexchange.com/","https://www.thewhiskyexchange.com/","Men","The UK's best whisky retailer — excellent gift selection","thewhiskyexchange.com","true","Men","Premium whisky and spirits","6a5cf235e67d9df5dc7d5183","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://arran.com/","https://arran.com/","Men, Women","Independent, Isle of Arran heritage, strong gifting range","arran.com","true","Unisex (Adult)","Scottish grooming and fragrance for men","6a5cf235e67d9df5dc7d5186","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.thewilloughbybookclub.co.uk/","https://www.thewilloughbybookclub.co.uk/","Men, Women, Kids","","thewilloughbybookclub.co.uk","true","Unisex + Kids","Book subscription service","6a5cf235e67d9df5dc7d5172","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.thewhitecompany.com/uk/","https://www.thewhitecompany.com/uk/","Women","Premium British brand, wedding/new home gifting staple","thewhitecompany.com","true","Women","Home, clothing, beauty, gifting","6a5cf235e67d9df5dc7d5175","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.wonderdays.co.uk/","https://www.wonderdays.co.uk/","Men, Women","Experiences are a major gift category; strong UK coverage","wonderdays.co.uk","true","Unisex (Adult)","Experience days — driving, cooking, adventure","6a5cf235e67d9df5dc7d5180","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.papier.com/","https://www.papier.com/","Men, Women","British brand, beautiful design, wide price range","papier.com","true","Unisex (Adult)","Personalised stationery, notebooks, journals","6a5cf235e67d9df5dc7d517d","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"true","https://www.truefittandhill.co.uk/","https://www.truefittandhill.co.uk/","Men","World's oldest barbershop, gifting section, premium positioning","truefittandhill.co.uk","true","Men","Luxury grooming, shaving sets, barbershop experiences","6a5cf235e67d9df5dc7d518a","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://emmabridgewaterstudio.shop/","https://emmabridgewaterstudio.shop/","Women","Artisan, beautiful pieces, strong gift story","emmabridgewaterstudio.shop","true","Women","British handmade ceramics","6a5cf235e67d9df5dc7d5176","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.mrporter.com/en-gb/","https://www.mrporter.com/en-gb/","Men","Premium quality bar, strong gifting section","mrporter.com","true","Men","Curated menswear and accessories","6a5cf235e67d9df5dc7d5181","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://batchcoffee.co.uk/","https://batchcoffee.co.uk/","Men","Thoughtful, quality-led, great for the coffee-obsessed man","batchcoffee.co.uk","true","Men","Specialty coffee subscriptions","6a5cf235e67d9df5dc7d5173","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://adorn-shop.co.uk/","https://adorn-shop.co.uk/","Women","Independent, handmade focus, beautifully curated","adorn-shop.co.uk","true","Women","Ceramics, candles, skincare, jewellery","6a5cf235e67d9df5dc7d5179","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.thegroomingclinic.com/","https://www.thegroomingclinic.com/","Men","","thegroomingclinic.com","true","Men","Grooming products","6a5cf235e67d9df5dc7d5185","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.ettinger.co.uk/","https://www.ettinger.co.uk/","Men","Heritage British brand, premium price point, gifted by royalty","Ettinger","true","Men","Handcrafted leather wallets, bags, accessories","6a5cf235e67d9df5dc7d518c","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.inceumbrellas.co.uk/","https://www.inceumbrellas.co.uk/","Men","James Ince — classic British craftsman, distinctive gift","inceumbrellas.co.uk","true","Men","British umbrellas and accessories","6a5cf235e67d9df5dc7d517e","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.penhaligons.com/uk/en/","https://www.penhaligons.com/uk/en/","Men, Women","Royal warrant holder, beautifully packaged, iconic British brand","penhaligons.com","true","Unisex (Adult)","British perfume and fragrance gifts","6a5cf235e67d9df5dc7d5189","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.billytannery.co.uk/","https://www.billytannery.co.uk/","Men","Independent British maker, strong story, £35–£300 range","Billy Tannery","true","Men","Sustainable goat leather bags and accessories","6a5cf235e67d9df5dc7d518b","2026-07-19T15:50:13.863000","2026-08-01T06:15:10.659000","6a5c0b238761536ed465b655","false"
"false","https://www.wolfandbadger.com/","https://www.wolfandbadger.com/","Women","Curates 800+ independent designers, ethical, premium","wolfandbadger.com","true","Women","Sustainable fashion, jewellery, homeware","6a5cf235e67d9df5dc7d517b","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.spabreaks.com/","https://www.spabreaks.com/","Men, Women","Often overlooked for men but increasingly popular — hotel spa days, massages","spabreaks.com","true","Unisex (Adult)","Spa day and wellness experience vouchers for men","6a5cf235e67d9df5dc7d5171","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.spacenk.com/uk/home","https://www.spacenk.com/uk/home","Women","The best beauty gift destination in the UK","spacenk.com","true","Women","Premium beauty and skincare curated","6a5cf235e67d9df5dc7d5178","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.tusting.co.uk/","https://www.tusting.co.uk/","Men, Women","Made in Buckinghamshire since 1875, very premium","tusting.co.uk","true","Unisex (Adult)","Luxury British leather bags and luggage","6a5cf235e67d9df5dc7d5184","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://reve-en-vert.com/","https://reve-en-vert.com/","Women","London-based, very high quality bar, distinctive","reve-en-vert.com","true","Women","Sustainable luxury fashion, beauty, homeware","6a5cf235e67d9df5dc7d517a","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.virginexperiencedays.co.uk/","https://www.virginexperiencedays.co.uk/","Men, Women","Wide range, reliable, good price spread","Virgin Experience Days UK","true","Unisex (Adult)","Experiences — spa, adventure, food","6a5cf235e67d9df5dc7d517f","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.bramleyproducts.co.uk/","https://www.bramleyproducts.co.uk/","Men, Women","","Bramley Products","true","Unisex (Adult)","British bath, body and grooming","6a5cf235e67d9df5dc7d5187","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.haygenshop.com/","https://www.haygenshop.com/","Men, Women","","haygenshop.com","true","Unisex (Adult)","UK gift store","6a5cf235e67d9df5dc7d5188","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://susancaplan.co.uk/","https://susancaplan.co.uk/","Women","Independent, distinctive, £50–£500","susancaplan.co.uk","true","Women","Vintage and contemporary jewellery","6a5cf235e67d9df5dc7d5177","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://www.lisaangel.co.uk/","https://www.lisaangel.co.uk/","Women","","lisaangel.co.uk","true","Women","Personalised jewellery, homeware, accessories","6a5cf235e67d9df5dc7d517c","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"true","https://hedonism.co.uk/","https://hedonism.co.uk/","Men","Mayfair independent, outstanding curation, perfect for him","hedonism.co.uk","true","Men","Fine wine, whisky, spirits","6a5cf235e67d9df5dc7d5182","2026-07-19T15:50:13.863000","2026-07-19T15:50:13.863000","6a5c0b238761536ed465b655","false"
"false","https://cutsy.co/","https://cutsy.co/","Men, Women","","Create your own custom vinyl records","true","Unisex (Adult)","Custom vinyl records","6a5cf235e67d9df5dc7d513e","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.woolblanketonline.co.uk/","https://www.woolblanketonline.co.uk/","Women","","Wool Blanket Online - British Made 100% Wool Blankets & Throws","false","Women","Blankets and throws","6a5cf235e67d9df5dc7d5144","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://desmondanddempsey.com/","https://desmondanddempsey.com/","Men, Women","","Luxury Pyjamas designed in the UK – Desmond & Dempsey","true","Unisex (Adult)","Pajamas","6a5cf235e67d9df5dc7d514d","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.minirodini.com/gb","https://www.minirodini.com/gb","Kids","Scandinavian, UK delivery, premium and distinctive","minirodini.com","true","Kids","Sustainable children's fashion","6a5cf235e67d9df5dc7d515f","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.smallable.com/en/toys-and-hobbies/all","https://www.smallable.com/en/toys-and-hobbies/all","Kids","Premium, international, excellent quality bar","smallable.com","true","Kids","Curated children's lifestyle and toys","6a5cf235e67d9df5dc7d515e","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://shop.nationaltrust.org.uk/","https://shop.nationaltrust.org.uk/","Men, Women, Kids","A membership gift that gives a family a year of experiences — genuinely thoughtful","shop.nationaltrust.org.uk","true","Unisex + Kids","National Trust gift memberships and nature gifts","6a5cf235e67d9df5dc7d5161","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.edeandravenscroft.com/","https://www.edeandravenscroft.com/","Men, Women","","London's Oldest Tailor – Ede & Ravenscroft","true","Unisex (Adult)","Beautiful silk scarve for women; bags; sweaters for men","6a5cf235e67d9df5dc7d5149","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.paulsmith.com/uk","https://www.paulsmith.com/uk","Men","","Designer Clothing for Men, Women & Kids, Fashion Accessories","true","Men","Fashion and homeward","6a5cf235e67d9df5dc7d514a","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://malinandgoetz.co.uk/","https://malinandgoetz.co.uk/","Men, Women","","skincare you trust+scents you love.","true","Unisex (Adult)","Beauty products","6a5cf235e67d9df5dc7d514b","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.libertylondon.com/","https://www.libertylondon.com/","Men, Women","","Liberty","true","Unisex (Adult)","","6a5cf235e67d9df5dc7d5147","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.thelittletibet.com/","https://www.thelittletibet.com/","Women","","The Little Tibet","false","Women","Reiki and sound bath experiences; scarves, tibetan jewellery","6a5cf235e67d9df5dc7d5148","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://brahmaki.com/","https://brahmaki.com/","Women","","brahmaki.com","true","Women","Robes","6a5cf235e67d9df5dc7d514c","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://clockworksoldier.co.uk/","https://clockworksoldier.co.uk/","Kids","Independent, thoughtful, literary gifts","clockworksoldier.co.uk","true","Kids","Books and creative kits for children","6a5cf235e67d9df5dc7d5158","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://beautifect.com/","https://beautifect.com/","Women","","Beautifect","true","Women","Beauty products","6a5cf235e67d9df5dc7d513c","2026-07-19T15:50:13.862000","2026-08-01T06:15:09.666000","6a5c0b238761536ed465b655","false"
"false","https://www.jellycat.com/","https://www.jellycat.com/","Kids","Iconic British brand, universally loved across all ages","Official Jellycat Store","true","Kids","Soft toys and gifts","6a5cf235e67d9df5dc7d515a","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://babymori.com/","https://babymori.com/","Kids","British brand, beautiful quality, strong gift sets","babymori.com","true","Kids","Minimalist organic children's clothing","6a5cf235e67d9df5dc7d515b","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://bombas.com/","https://bombas.com/","Men, Women","","Bombas. Socks, Underwear, T-Shirts, Slippers designed for comfort, quality, and impact","true","Unisex (Adult)","Slippers","6a5cf235e67d9df5dc7d513d","2026-07-19T15:50:13.862000","2026-08-01T06:15:11.015000","6a5c0b238761536ed465b655","false"
"false","https://melintregwynt.co.uk/","https://melintregwynt.co.uk/","Women","","Melin Tregwynt - Woven in Wales","true","Women","Welsh handmade blankets","6a5cf235e67d9df5dc7d5145","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.menkind.co.uk/","https://www.menkind.co.uk/","Men","","Menkind","true","Men","Games, gadgets and unusual gifts","6a5cf235e67d9df5dc7d5154","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.bokibooks.co.uk/","https://www.bokibooks.co.uk/","Kids","Beautifully made, thoughtful, emotional gift","bokibooks.co.uk","true","Kids","Personalised children's books","6a5cf235e67d9df5dc7d5160","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://atlanticblankets.com/","https://atlanticblankets.com/","Women","","Coastal-Inspired Blankets & Throws","true","Women","British made blankets; hug in a box gift sets","6a5cf235e67d9df5dc7d5143","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://thegoto.com/","https://thegoto.com/","Men, Women","","thegoto.com","true","Unisex (Adult)","Good quality, interesting ideas","6a5cf235e67d9df5dc7d514f","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://healf.com/","https://healf.com/","Men, Women","","Healf","true","Unisex (Adult)","Wellness inspired gifts","6a5cf235e67d9df5dc7d5140","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://dieuxskin.com/","https://dieuxskin.com/","Women","","Collections – Dieux","true","Women","Beauty products","6a5cf235e67d9df5dc7d513f","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://thenightsky.com/","https://thenightsky.com/","Men, Women","","The Night Sky - Custom Star Map","true","Unisex (Adult)","Personalised maps and gifts related to the stars","6a5cf235e67d9df5dc7d5142","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://iwantoneofthose.com/","https://iwantoneofthose.com/","Men, Women","","iwantoneofthose.com","true","Unisex (Adult)","Quirky, funny and unusual gifts","6a5cf235e67d9df5dc7d5150","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://thecraftadventurebox.com/","https://thecraftadventurebox.com/","Kids","Subscription experience gift — ages 3–12","thecraftadventurebox.com","true","Kids","Monthly adventure activity boxes","6a5cf235e67d9df5dc7d5157","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.learningresources.co.uk/","https://www.learningresources.co.uk/","Kids","","learningresources.co.uk","true","Kids","Educational toys and games","6a5cf235e67d9df5dc7d515d","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.notanotherbill.com/","https://www.notanotherbill.com/","Men, Women, Kids","","Unique and personalised gifts - delivered globally – Not Another Bill","true","Unisex + Kids","Good selections for all occassions; some budget options","6a5cf235e67d9df5dc7d5141","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://babame.com/","https://babame.com/","Kids","Independent, sustainable, premium","babame.com","true","Kids","Organic children's clothing and gifts","6a5cf235e67d9df5dc7d515c","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://ilonatambor.com/","https://ilonatambor.com/","Women","","Luxury Silk, Wool & Cashmere Scarves","false","Women","Scarves","6a5cf235e67d9df5dc7d5146","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.astridandmiyu.com/","https://www.astridandmiyu.com/","Women","","Shop Contemporary Jewellery to Stack & Style","true","Women","Womens jewellery","6a5cf235e67d9df5dc7d514e","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.findmeagift.co.uk/","https://www.findmeagift.co.uk/","Men, Women, Kids","","Gifts - for all occasions: Find Me a Gift","true","Unisex + Kids","Experiences  and gifts by categories","6a5cf235e67d9df5dc7d5153","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.wonderbly.com/","https://www.wonderbly.com/","Men, Women, Kids","","Personalized Books For Kids & Adults","true","Unisex + Kids","Peronalised books","6a5cf235e67d9df5dc7d5155","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.luxuryformen.com/","https://www.luxuryformen.com/","Men","","Luxury For Men","true","Men","","6a5cf235e67d9df5dc7d5151","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://science-gifts.co.uk/","https://science-gifts.co.uk/","Men, Women, Kids","","Science Gifts","false","Unisex + Kids","Science based gifts","6a5cf235e67d9df5dc7d5152","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.hamleys.com/","https://www.hamleys.com/","Kids","Iconic, wide range, premium lines available","hamleys.com","true","Kids","Classic British toy retailer","6a5cf235e67d9df5dc7d5156","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
"false","https://www.bigjigstoys.com/","https://www.bigjigstoys.com/","Kids","British brand, educational, excellent quality","bigjigstoys.com","true","Kids","Wooden toys and games","6a5cf235e67d9df5dc7d5159","2026-07-19T15:50:13.862000","2026-07-19T15:50:13.862000","6a5c0b238761536ed465b655","false"
